overall_rank,player_id,player,position,projected_points,uncertainty,rookie,model,draft_pick,draft_round,replacement_points,vorp,floor,ceiling,position_rank,pos_rank
21,00-0041483,Eli Stowers,TE,96.52164925353732,56.03927305570021,True,rookie_prior,54.0,2.0,34.90076121701828,61.62088803651904,24.79137974224105,168.2519187648336,2,TE2
22,00-0041067,Bryce Lance,WR,73.2660689699189,45.13578088034621,True,rookie_prior,136.0,4.0,14.511237032634035,58.75483193728487,15.492269443075756,131.03986849676204,15,WR15
23,00-0041132,Deion Burks,WR,71.31791301032302,40.29891580066527,True,rookie_prior,254.0,7.0,14.511237032634035,56.80667597768899,19.73530078547148,122.90052523517457,16,WR16
24,00-0041047,Chris Brazzell II,WR,70.85645208036411,45.07586694093174,True,rookie_prior,83.0,3.0,14.511237032634035,56.34521504773007,13.159342395971478,128.55356176475675,17,WR17
25,00-0041550,Brenen Thompson,WR,70.18228185614387,47.23344304439669,True,rookie_prior,105.0,4.0,14.511237032634035,55.67104482350984,9.723474759316112,130.64108895297164,18,WR18
26,00-0041496,Jonah Coleman,RB,80.92262512176717,44.18961810364633,True,rookie_prior,108.0,4.0,27.877721946608947,53.044903175158225,24.359913949099862,137.4853362944345,3,RB3
27,00-0041092,Taylen Green,QB,71.8945575984016,40.824953777959244,True,rookie_prior,182.0,6.0,20.300755349539358,51.59380224886225,19.638616762613772,124.15049843418944,4,QB4
28,00-0041446,Kendrick Law,WR,66.07182508269509,44.800654295972166,True,rookie_prior,168.0,5.0,14.511237032634035,51.56058805006105,8.726987583850715,123.41666258153946,19,WR19
29,00-0040870,Ja'Kobi Lane,WR,65.44288759762456,44.43281369391801,True,rookie_prior,80.0,3.0,14.511237032634035,50.93165056499053,8.568886069409515,122.31688912583961,20,WR20
30,00-0040894,Malik Benson,WR,62.94972337085139,43.2506834511926,True,rookie_prior,195.0,6.0,14.511237032634035,48.43848633821735,7.588848553324858,118.31059818837792,21,WR21
