overall_rank,player_id,player,position,projected_points,uncertainty,rookie,model,draft_pick,draft_round,replacement_points,vorp,floor,ceiling,position_rank,pos_rank
16,00-0041032,Kenyon Sadiq,TE,91.18090220757027,41.80128408785346,True,rookie_prior,16.0,1.0,28.08370524242422,63.097196965146054,37.67525857511784,144.6865458400227,1,TE1
17,00-0041529,Kevin Coleman Jr.,WR,72.18622824269856,54.65372388972985,True,rookie_prior,177.0,5.0,11.890643379953387,60.29558486274517,2.2294616638443614,142.14299482155275,11,WR11
18,00-0041523,Caleb Douglas,WR,70.09340487357089,46.15855142840079,True,rookie_prior,75.0,3.0,11.890643379953387,58.2027614936175,11.010459045217878,129.1763507019239,12,WR12
19,00-0041051,Zavion Thomas,WR,69.34635566000667,45.13246622015569,True,rookie_prior,89.0,3.0,11.890643379953387,57.45571228005328,11.576798898207379,127.11591242180594,13,WR13
20,00-0041047,Chris Brazzell II,WR,60.874406341103295,38.49433302710538,True,rookie_prior,83.0,3.0,11.890643379953387,48.98376296114991,11.601660066408414,110.14715261579818,14,WR14
21,00-0041040,Antonio Williams,WR,60.077541692640644,38.32668554928205,True,rookie_prior,71.0,3.0,11.890643379953387,48.186898312687255,11.019384189559624,109.13569919572166,15,WR15
22,00-0041483,Eli Stowers,TE,74.50300998712399,47.78285122620281,True,rookie_prior,54.0,2.0,28.08370524242422,46.41930474469977,13.340960417584391,135.66505955666358,2,TE2
23,00-0041132,Deion Burks,WR,58.20415541602836,35.05767785985529,True,rookie_prior,254.0,7.0,11.890643379953387,46.31351203607497,13.330327755413585,103.07798307664314,16,WR16
24,00-0041446,Kendrick Law,WR,56.7786315007215,39.032290407534674,True,rookie_prior,168.0,5.0,11.890643379953387,44.887988120768114,6.817299779077118,106.73996322236589,17,WR17
25,00-0041067,Bryce Lance,WR,56.35398272005761,40.297197302202555,True,rookie_prior,136.0,4.0,11.890643379953387,44.46333934010422,4.773570173238333,107.93439526687689,18,WR18
26,00-0041092,Taylen Green,QB,63.33075869319575,40.83585406100616,True,rookie_prior,182.0,6.0,19.212282881673925,44.11847581152182,11.060865495107862,115.60065189128363,4,QB4
27,00-0041550,Brenen Thompson,WR,55.94942259984459,39.941103947531055,True,rookie_prior,105.0,4.0,11.890643379953387,44.0587792198912,4.82480954700484,107.07403565268433,19,WR19
28,00-0040870,Ja'Kobi Lane,WR,52.63911403774001,37.412943984853584,True,rookie_prior,80.0,3.0,11.890643379953387,40.74847065778662,4.750545737127418,100.5276823383526,20,WR20
29,00-0041496,Jonah Coleman,RB,67.87827152602948,38.74931657577072,True,rookie_prior,108.0,4.0,27.58446426451325,40.29380726151623,18.279146309042957,117.477396743016,3,RB3
30,00-0041565,Drew Allar,QB,59.114066120657085,56.04150455471103,True,rookie_prior,76.0,3.0,19.212282881673925,39.90178323898316,0.0,130.8471919506872,5,QB5
31,00-0040894,Malik Benson,WR,50.274607277777804,37.86979858265844,True,rookie_prior,195.0,6.0,11.890643379953387,38.383963897824415,1.8012650919749973,98.74794946358061,21,WR21
32,00-0040888,Adam Randall,RB,65.06160846087243,47.709899392165774,True,rookie_prior,174.0,5.0,27.58446426451325,37.477144196359184,3.9929372389002467,126.13027968284462,4,RB4
33,00-0040890,Cyrus Allen,WR,48.76572751298373,45.11222325580807,True,rookie_prior,176.0,5.0,11.890643379953387,36.87508413303034,0.0,106.50937328041806,22,WR22
34,00-0041561,Carson Beck,QB,55.22572108602503,56.001071811134636,True,rookie_prior,65.0,3.0,19.212282881673925,36.013438204351104,0.0,126.90709300427737,6,QB6
35,00-0041069,Colbie Young,WR,47.719122372516324,31.30852906368383,True,rookie_prior,140.0,4.0,11.890643379953387,35.828478992562935,7.644205171001019,87.79403957403163,23,WR23
36,00-0041052,Kaelon Black,RB,62.976197393939366,45.07112006506708,True,rookie_prior,90.0,3.0,27.58446426451325,35.391733129426115,5.2851637106535065,120.66723107722522,5,RB5
37,00-0041397,Kaden Wetjen,WR,46.396568190032156,37.398925331969544,True,rookie_prior,121.0,4.0,11.890643379953387,34.50592481007877,0.0,94.26719261495317,24,WR24
38,00-0041048,Ted Hurst III,WR,43.22083922965922,30.385472189249285,True,rookie_prior,84.0,3.0,11.890643379953387,31.33019584970583,4.327434827420134,82.1142436318983,25,WR25
39,00-0041443,Skyler Bell,WR,41.99154609668111,35.41464619165036,True,rookie_prior,125.0,4.0,11.890643379953387,30.100902716727724,0.0,87.32229322199358,26,WR26
40,00-0041104,Demond Claiborne,RB,56.08815813780668,35.51054428378579,True,rookie_prior,198.0,6.0,27.58446426451325,28.50369387329343,10.63466145456087,101.54165482105249,6,RB6
41,00-0041525,Chris Bell,WR,39.12058453823956,30.09186409421657,True,rookie_prior,94.0,3.0,11.890643379953387,27.229941158286174,0.6029984976423464,77.63817057883678,27,WR27
42,00-0041579,Seydou Traore,TE,54.41758808635808,48.54652852506792,True,rookie_prior,180.0,5.0,28.08370524242422,26.33388284393386,0.0,116.55714459844502,3,TE3
43,00-0041070,Reggie Virgil,WR,37.58628409768009,35.91749464444638,True,rookie_prior,143.0,5.0,11.890643379953387,25.695640717726704,0.0,83.56067724257146,28,WR28
44,00-0041056,Cade Klubnik,QB,43.485741701298664,35.840072262145725,True,rookie_prior,110.0,4.0,19.212282881673925,24.27345881962474,0.0,89.3610341968452,7,QB7
45,00-0041013,Emmett Johnson,RB,51.51916036474638,41.622383869846594,True,rookie_prior,161.0,5.0,27.58446426451325,23.934696100233126,0.0,104.79581171815002,7,RB7
46,00-0040876,Elijah Sarratt,WR,35.30969695371291,25.753837561306522,True,rookie_prior,115.0,4.0,11.890643379953387,23.41905357375952,2.3447848752405562,68.27460903218525,29,WR29
47,00-0041503,Nate Boerkircher,TE,48.78855245099343,37.12301127417243,True,rookie_prior,56.0,2.0,28.08370524242422,20.70484720856921,1.2710980200527189,96.30600688193414,4,TE4
48,00-0041099,Barion Brown,WR,31.269007319069818,29.381665298904732,True,rookie_prior,190.0,6.0,11.890643379953387,19.378363939116433,0.0,68.87753890166788,30,WR30
49,00-0041472,Marlin Klein,TE,46.35092353313351,37.5173571583187,True,rookie_prior,59.0,2.0,28.08370524242422,18.26721829070929,0.0,94.37314069578144,5,TE5
50,00-0041510,Max Klare,TE,46.34812605339103,36.91909352393544,True,rookie_prior,61.0,2.0,28.08370524242422,18.264420810966808,0.0,93.6045657640284,6,TE6
51,00-0040878,Mike Washington Jr.,RB,45.24847116539012,37.21254170789708,True,rookie_prior,122.0,4.0,27.58446426451325,17.66400690087687,0.0,92.88052455149838,8,RB8
52,00-0041558,Sam Roush,TE,43.31021826628927,30.720294555755753,True,rookie_prior,69.0,3.0,28.08370524242422,15.22651302386505,3.988241234921901,82.63219529765664,7,TE7
53,00-0041041,Oscar Delp,TE,42.76313059740254,34.78770982942356,True,rookie_prior,73.0,3.0,28.08370524242422,14.679425354978317,0.0,87.2913991790647,8,TE8
54,00-0041395,Eli Raridon,TE,37.505096419469396,27.65609817750487,True,rookie_prior,95.0,3.0,28.08370524242422,9.421391177045177,2.1052907522631656,72.90490208667563,9,TE9
55,00-0041125,Seth McGowan,RB,36.96099917970916,28.53301632607381,True,rookie_prior,237.0,7.0,27.58446426451325,9.376534915195911,0.4387382823346826,73.48326007708364,9,RB9
56,00-0040886,Nicholas Singleton,RB,35.53491004118105,42.894703857558845,True,rookie_prior,165.0,5.0,27.58446426451325,7.950445776667799,0.0,90.44013097885637,10,RB10
57,00-0041100,Josh Cameron,WR,19.40655128693528,22.034762585312585,True,rookie_prior,191.0,6.0,11.890643379953387,7.515907906981893,0.0,47.61104739613539,31,WR31
58,00-0041467,Lewis Bond,WR,18.811337606060615,12.1387978352008,True,rookie_prior,204.0,6.0,11.890643379953387,6.920694226107228,3.273676377003591,34.34899883511764,32,WR32
59,00-0041081,Max Bredeson,RB,34.40748064124765,37.45402984271589,True,rookie_prior,159.0,5.0,27.58446426451325,6.823016376734401,0.0,82.34863883992399,11,RB11
60,00-0040879,Matthew Hibner,TE,31.89394238084137,25.288518022321767,True,rookie_prior,133.0,4.0,28.08370524242422,3.8102371384171505,0.0,64.26324544941323,10,TE10
61,00-0040895,Emmanuel Henderson Jr.,WR,14.926100219780219,11.191498787576112,True,rookie_prior,199.0,6.0,11.890643379953387,3.035456839826832,0.600981771682795,29.251218667877644,33,WR33
62,00-0041399,CJ Daniels,WR,14.697794398712409,12.481547009114214,True,rookie_prior,197.0,6.0,11.890643379953387,2.807151018759022,0.0,30.674174570378604,34,WR34
63,00-0041106,C.J. Williams,WR,13.98701365223666,9.683641635434407,True,rookie_prior,203.0,6.0,11.890643379953387,2.0963702722832736,1.5919523588806186,26.382074945592702,35,WR35
64,00-0041096,Kaytron Allen,RB,29.146973364524367,24.853255190198713,True,rookie_prior,187.0,6.0,27.58446426451325,1.5625091000111162,0.0,60.95914000797872,12,RB12
65,00-0041117,Athan Kaliakmanis,QB,19.473515488622525,19.039880974649463,True,rookie_prior,223.0,7.0,19.212282881673925,0.2612326069485995,0.0,43.84456313617384,8,QB8
66,00-0041087,Joe Royer,TE,28.258110011100015,19.47675990484203,True,rookie_prior,170.0,5.0,28.08370524242422,0.1744047686757959,3.327857332902216,53.18836268929782,11,TE11
67,00-0040906,Garrett Nussmeier,QB,19.2322130649351,18.42451741405718,True,rookie_prior,249.0,7.0,19.212282881673925,0.019930183261173795,0.0,42.81559535492829,9,QB9
68,00-0040887,Josh Cuevas,TE,28.08370524242422,25.31825061008862,True,rookie_prior,173.0,5.0,28.08370524242422,0.0,0.0,60.49106602333765,12,TE12
69,00-0041490,Eli Heidenreich,RB,27.58446426451325,23.163604231951233,True,rookie_prior,230.0,7.0,27.58446426451325,0.0,0.0,57.23387768141083,13,RB13
70,00-0041123,Behren Morton,QB,19.212282881673925,19.510610783874167,True,rookie_prior,234.0,7.0,19.212282881673925,0.0,0.0,44.18586468503286,10,QB10
71,00-0040900,Anthony Smith,WR,11.890643379953387,10.785046460823777,True,rookie_prior,218.0,7.0,11.890643379953387,0.0,0.0,25.695502849807824,36,WR36
72,00-0041077,Justin Joly,TE,27.755689857475833,20.437826272828435,True,rookie_prior,152.0,5.0,28.08370524242422,-0.32801538494838667,1.5952722282554355,53.916107486696234,13,TE13
73,00-0041524,Will Kacmarek,TE,26.37201713314463,24.98136154454498,True,rookie_prior,87.0,3.0,28.08370524242422,-1.7116881092795886,0.0,58.34815991016221,14,TE14
74,00-0041094,Bauer Sharp,TE,22.80866011810411,21.488285276965836,True,rookie_prior,185.0,6.0,28.08370524242422,-5.275045124320108,0.0,50.31366527262038,15,TE15
75,00-0041084,Tanner Koziol,TE,21.639640689167017,16.044071259229398,True,rookie_prior,164.0,5.0,28.08370524242422,-6.444064553257203,1.1032294773533877,42.176051900980646,16,TE16
76,00-0041116,Jack Endries,TE,13.792454621267623,11.575094958433933,True,rookie_prior,221.0,7.0,28.08370524242422,-14.291250621156596,0.0,28.60857616806306,17,TE17
77,00-0041133,Dallen Bentley,TE,12.899547831168814,13.784643849108365,True,rookie_prior,256.0,7.0,28.08370524242422,-15.184157411255406,0.0,30.543891958027523,18,TE18
78,00-0040901,Jaren Kanak,TE,11.670598569985563,11.281355186559582,True,rookie_prior,225.0,7.0,28.08370524242422,-16.41310667243866,0.0,26.110733208781827,19,TE19
79,00-0041131,Carsen Ryan,TE,7.017725360750362,8.237177561408542,True,rookie_prior,248.0,7.0,28.08370524242422,-21.065979881673858,0.0,17.561312639353297,20,TE20
